name;planet_status;mass;radius;type;orbital_period;semi_major_axis;star_name;star_distance;star_teff;star_radius;temp_calculated;mag_v;mag_j;mag_k;scale_factor;tsm;esm;alternate_names;updated;observation_type;reference;molecules;albedo;phase_curve;comments
"HD 189733 b";"Confirmed";1.138;1.138;"Hot Jupiter";2.219;0.031;"HD 189733";19.3;4875.0;0.805;1197.9126975084;7.67;6.0730000;5.5410000;1.15;742.5333;1032.38;;"7/18/22";"G-B: High resolution IR";"2019MNRAS.482.4422C";"{"H2O":"Detection","CO":"Detection","HCN":"Detection"}";0;"No";
"HD 189733 b";"Confirmed";1.138;1.138;"Hot Jupiter";2.219;0.031;"HD 189733";19.3;4875.0;0.805;1197.9126975084;7.67;6.0730000;5.5410000;1.15;742.5333;1032.38;;"7/18/22";"G-B: High resolution IR";2406.09225;"{"He":"Detection"}";;"No";
"HD 189733 b";"Confirmed";1.138;1.138;"Hot Jupiter";2.219;0.031;"HD 189733";19.3;4875.0;0.805;1197.9126975084;7.67;6.0730000;5.5410000;1.15;742.5333;1032.38;;"7/18/22";"G-B: High resolution IR";2204.02985;"{"He":"Detection"}";0;"No";"Variability in He signal?"
"HD 189733 b";"Confirmed";1.138;1.138;"Hot Jupiter";2.219;0.031;"HD 189733";19.3;4875.0;0.805;1197.9126975084;7.67;6.0730000;5.5410000;1.15;742.5333;1032.38;;"7/18/22";"HST STIS";2307.03058;"{"C+":"Detection","H":"Detection"}";;"No";
"HD 189733 b";"Confirmed";1.138;1.138;"Hot Jupiter";2.219;0.031;"HD 189733";19.3;4875.0;0.805;1197.9126975084;7.67;6.0730000;5.5410000;1.15;742.5333;1032.38;;"7/18/22";"G-B: High resolution IR";2307.05580;"{"He":"Detection"}";;"No";"Excess absorption detection of 0.69±0.04 % with SPIRou."
"HD 189733 b";"Confirmed";1.138;1.138;"Hot Jupiter";2.219;0.031;"HD 189733";19.3;4875.0;0.805;1197.9126975084;7.67;6.0730000;5.5410000;1.15;742.5333;1032.38;;"7/18/22";"JWST-NIRSpec";2407.06163;"{"H2O":"Detection","CO2":"Detection","CO":"Detection","Molecular ratios: C\/O, etc...":"Detection","CH4":"Upper limit","H2S":"Detection"}";;"No";
"HD 189733 b";"Confirmed";1.138;1.138;"Hot Jupiter";2.219;0.031;"HD 189733";19.3;4875.0;0.805;1197.9126975084;7.67;6.0730000;5.5410000;1.15;742.5333;1032.38;;"7/18/22";"Spitzer";2408.13308;"[]";0.38;"Yes";"Dayside and nightside temperatures from phase curves at 4.5 um"
"HD 189733 b";"Confirmed";1.138;1.138;"Hot Jupiter";2.219;0.031;"HD 189733";19.3;4875.0;0.805;1197.9126975084;7.67;6.0730000;5.5410000;1.15;742.5333;1032.38;;"7/18/22";"Spitzer";2004.09513;"{"H2O":"Detection"}";0;"No";"Retrieval on (almost) all available HST and Spitzer transit and eclipse data"
"HD 189733 b";"Confirmed";1.138;1.138;"Hot Jupiter";2.219;0.031;"HD 189733";19.3;4875.0;0.805;1197.9126975084;7.67;6.0730000;5.5410000;1.15;742.5333;1032.38;;"7/18/22";"G-B: High resolution visible";2310.06681;"{"Rayleigh Scattering":"Detection"}";;"No";
"HD 189733 b";"Confirmed";1.138;1.138;"Hot Jupiter";2.219;0.031;"HD 189733";19.3;4875.0;0.805;1197.9126975084;7.67;6.0730000;5.5410000;1.15;742.5333;1032.38;;"7/18/22";"G-B: High resolution IR";2312.00141;"{"CO":"Detection","H2O":"Detection"}";;"No";
"HD 189733 b";"Confirmed";1.138;1.138;"Hot Jupiter";2.219;0.031;"HD 189733";19.3;4875.0;0.805;1197.9126975084;7.67;6.0730000;5.5410000;1.15;742.5333;1032.38;;"7/18/22";"HST WFC3";2204.11729;"{"H2O":"Detection","CO2":"Detection"}";;"No";
"HD 189733 b";"Confirmed";1.138;1.138;"Hot Jupiter";2.219;0.031;"HD 189733";19.3;4875.0;0.805;1197.9126975084;7.67;6.0730000;5.5410000;1.15;742.5333;1032.38;;"7/18/22";"JWST-MIRI";2409.11395;"{"H2O":"Detection","H2S":"Detection","SiO2":"Theoretical prediction"}";;"No";
"HD 189733 b";"Confirmed";1.138;1.138;"Hot Jupiter";2.219;0.031;"HD 189733";19.3;4875.0;0.805;1197.9126975084;7.67;6.0730000;5.5410000;1.15;742.5333;1032.38;;"7/18/22";"G-B: High resolution IR";2402.14001;"{"H2O":"Detection","CH4":"Upper limit","CO":"Upper limit","HCN":"Upper limit","NH3":"Upper limit"}";;"No";
"HD 189733 b";"Confirmed";1.138;1.138;"Hot Jupiter";2.219;0.031;"HD 189733";19.3;4875.0;0.805;1197.9126975084;7.67;6.0730000;5.5410000;1.15;742.5333;1032.38;;"7/18/22";"G-B: High resolution visible";2205.01623;"{"Na":"Detection"}";;"No";"Confirms previously reported detection of Na using HARPS."
"HD 189733 b";"Confirmed";1.138;1.138;"Hot Jupiter";2.219;0.031;"HD 189733";19.3;4875.0;0.805;1197.9126975084;7.67;6.0730000;5.5410000;1.15;742.5333;1032.38;;"7/18/22";"G-B: High resolution IR";"2020AJ....160..228K";"{"FeH":"Upper limit"}";0;"No";
"HD 189733 b";"Confirmed";1.138;1.138;"Hot Jupiter";2.219;0.031;"HD 189733";19.3;4875.0;0.805;1197.9126975084;7.67;6.0730000;5.5410000;1.15;742.5333;1032.38;;"7/18/22";"G-B: Low resolution visible";"2020A&A...643A..64O";"{"Rayleigh Scattering":"Detection","K":"Upper limit","Na":"Upper limit"}";0;"No";"Low-resolution broadband using chromatic RM observation from visible and NIR"
"HD 189733 b";"Confirmed";1.138;1.138;"Hot Jupiter";2.219;0.031;"HD 189733";19.3;4875.0;0.805;1197.9126975084;7.67;6.0730000;5.5410000;1.15;742.5333;1032.38;;"7/18/22";"JWST-NIRCam";2410.22398;"{"Molecular ratios: C\/O, etc...":"Detection"}";;"No";"Detection and comparision of C/O and metalicity from emission and transmission observations"
"HD 189733 b";"Confirmed";1.138;1.138;"Hot Jupiter";2.219;0.031;"HD 189733";19.3;4875.0;0.805;1197.9126975084;7.67;6.0730000;5.5410000;1.15;742.5333;1032.38;;"7/18/22";"G-B: High resolution IR";1811.08901;"{"H2O":"Detection"}";0;"No";
"HD 189733 b";"Confirmed";1.138;1.138;"Hot Jupiter";2.219;0.031;"HD 189733";19.3;4875.0;0.805;1197.9126975084;7.67;6.0730000;5.5410000;1.15;742.5333;1032.38;;"7/18/22";"G-B: High resolution visible";2412.04330;"{"Na":"Detection"}";;"No";"Analysis of Na detection through several transits"
"HD 202772 A b";"Confirmed";1.008;1.562;"UltraHot Jupiter";3.30896;0.0519;"HD 202772 A";147.2;6230.0;2.614;2132.0;8.32;7.2320000;6.9590000;1.15;214.5639;186.4831;;"10/5/18";"Spitzer";2408.13680;"[]";0.42;"No";"Dayside temperatures and Bond albedos at 3.6 um (and 4.5 um)"
"HD 209458 b";"Confirmed";0.69;1.38;"Hot Jupiter";3.52472;0.04747;"HD 209458";47.0;6092.0;1.203;1478.8241952106;7.65;6.5910000;6.3080000;1.15;950.9802;535.1454;;"11/19/24";"G-B: High resolution visible";2412.04330;"{"Na":"Upper limit"}";;"No";"Unclear result from the analysis of several transits."
"HD 209458 b";"Confirmed";0.69;1.38;"Hot Jupiter";3.52472;0.04747;"HD 209458";47.0;6092.0;1.203;1478.8241952106;7.65;6.5910000;6.3080000;1.15;950.9802;535.1454;;"11/19/24";"HST STIS";1512.04341;"{"Na":"Detection","H2O":"Detection"}";0;"No";
"HD 209458 b";"Confirmed";0.69;1.38;"Hot Jupiter";3.52472;0.04747;"HD 209458";47.0;6092.0;1.203;1478.8241952106;7.65;6.5910000;6.3080000;1.15;950.9802;535.1454;;"11/19/24";"G-B: High resolution visible";"2021A&A...647A..26C";"{"Na":"No detection"}";0;"No";
"HD 209458 b";"Confirmed";0.69;1.38;"Hot Jupiter";3.52472;0.04747;"HD 209458";47.0;6092.0;1.203;1478.8241952106;7.65;6.5910000;6.3080000;1.15;950.9802;535.1454;;"11/19/24";"HST WFC3";"2018AJ....155..156T";"{"H2O":"Detection"}";0;"No";
"HD 209458 b";"Confirmed";0.69;1.38;"Hot Jupiter";3.52472;0.04747;"HD 209458";47.0;6092.0;1.203;1478.8241952106;7.65;6.5910000;6.3080000;1.15;950.9802;535.1454;;"11/19/24";"G-B: High resolution visible";0805.0789;"{"Na":"Detection"}";;"No";"Reanalysis of Subaru/HDS dataset"
"HD 209458 b";"Confirmed";0.69;1.38;"Hot Jupiter";3.52472;0.04747;"HD 209458";47.0;6092.0;1.203;1478.8241952106;7.65;6.5910000;6.3080000;1.15;950.9802;535.1454;;"11/19/24";"G-B: High resolution visible";"2005PASJ...57..471N";"{"Na":"Upper limit","Li":"Upper limit","H":"Upper limit"}";;"No";"Upper limits with Subaru/HDS"
"HD 209458 b";"Confirmed";0.69;1.38;"Hot Jupiter";3.52472;0.04747;"HD 209458";47.0;6092.0;1.203;1478.8241952106;7.65;6.5910000;6.3080000;1.15;950.9802;535.1454;;"11/19/24";"HST STIS";"2004ApJ...604L..69V";"{"C+":"Detection","O":"Detection"}";;"No";"Transmission analysis of atomic/ionic lines in the UV. No signals detected for other species."
"HD 209458 b";"Confirmed";0.69;1.38;"Hot Jupiter";3.52472;0.04747;"HD 209458";47.0;6092.0;1.203;1478.8241952106;7.65;6.5910000;6.3080000;1.15;950.9802;535.1454;;"11/19/24";"HST WFC3";"2016ApJ...832..202T";"{"H2O":"Detection"}";0;"No";
"HD 209458 b";"Confirmed";0.69;1.38;"Hot Jupiter";3.52472;0.04747;"HD 209458";47.0;6092.0;1.203;1478.8241952106;7.65;6.5910000;6.3080000;1.15;950.9802;535.1454;;"11/19/24";"HST-COS";"2010ApJ...717.1291L";"{"C+":"Detection","Si+":"Detection"}";;"No";"Detection of Si++"
"HD 209458 b";"Confirmed";0.69;1.38;"Hot Jupiter";3.52472;0.04747;"HD 209458";47.0;6092.0;1.203;1478.8241952106;7.65;6.5910000;6.3080000;1.15;950.9802;535.1454;;"11/19/24";"G-B: High resolution IR";"2019AJ....157..114B";"{"CO":"Detection","H2O":"Upper limit"}";0;"No";
"HD 209458 b";"Confirmed";0.69;1.38;"Hot Jupiter";3.52472;0.04747;"HD 209458";47.0;6092.0;1.203;1478.8241952106;7.65;6.5910000;6.3080000;1.15;950.9802;535.1454;;"11/19/24";"G-B: High resolution IR";"2010Natur.465.1049S";"{"CO":"Detection"}";0;"No";
"HD 209458 b";"Confirmed";0.69;1.38;"Hot Jupiter";3.52472;0.04747;"HD 209458";47.0;6092.0;1.203;1478.8241952106;7.65;6.5910000;6.3080000;1.15;950.9802;535.1454;;"11/19/24";"G-B: High resolution IR";2406.09225;"{"He":"Upper limit"}";;"No";"Tentative detection"
"HD 209458 b";"Confirmed";0.69;1.38;"Hot Jupiter";3.52472;0.04747;"HD 209458";47.0;6092.0;1.203;1478.8241952106;7.65;6.5910000;6.3080000;1.15;950.9802;535.1454;;"11/19/24";"G-B: High resolution IR";"2019A&A...629A.110A";"{"He":"Detection"}";0;"No";
"HD 209458 b";"Confirmed";0.69;1.38;"Hot Jupiter";3.52472;0.04747;"HD 209458";47.0;6092.0;1.203;1478.8241952106;7.65;6.5910000;6.3080000;1.15;950.9802;535.1454;;"11/19/24";"G-B: Low resolution visible";"2020A&A...644A..51S";"{"TiO":"Detection","Na":"Detection"}";0;"No";"Models suggest there is ambiguity in the species detected and other absorbers may be needed to explain data."
"HD 209458 b";"Confirmed";0.69;1.38;"Hot Jupiter";3.52472;0.04747;"HD 209458";47.0;6092.0;1.203;1478.8241952106;7.65;6.5910000;6.3080000;1.15;950.9802;535.1454;;"11/19/24";"G-B: High resolution IR";2104.03352;"{"CO":"Detection","H2O":"Detection","CH4":"Detection","HCN":"Detection","NH3":"Detection"}";0;"No";
"HD 209458 b";"Confirmed";0.69;1.38;"Hot Jupiter";3.52472;0.04747;"HD 209458";47.0;6092.0;1.203;1478.8241952106;7.65;6.5910000;6.3080000;1.15;950.9802;535.1454;;"11/19/24";"Spitzer";"2007MNRAS.379..641C";"[]";0;"Yes";"Multi-epoch 8 micron phase measurements yielded an upper limit on the thermal phase variations."
"HD 209458 b";"Confirmed";0.69;1.38;"Hot Jupiter";3.52472;0.04747;"HD 209458";47.0;6092.0;1.203;1478.8241952106;7.65;6.5910000;6.3080000;1.15;950.9802;535.1454;;"11/19/24";"Spitzer";2408.13308;"[]";0.52;"Yes";"Dayside and nightside temperatures from phase curve at 4.5 um."
"HD 209458 b";"Confirmed";0.69;1.38;"Hot Jupiter";3.52472;0.04747;"HD 209458";47.0;6092.0;1.203;1478.8241952106;7.65;6.5910000;6.3080000;1.15;950.9802;535.1454;;"11/19/24";"HST STIS";"2020AJ....159..111C";"{"Fe+":"Detection","Mg":"No detection","Mg+":"No detection"}";0;"No";"Detection of iron in HD209458b and non-detection of Mg and Mg+."
"HD 209458 b";"Confirmed";0.69;1.38;"Hot Jupiter";3.52472;0.04747;"HD 209458";47.0;6092.0;1.203;1478.8241952106;7.65;6.5910000;6.3080000;1.15;950.9802;535.1454;;"11/19/24";"HST STIS";"2003Natur.422..143V";"{"H":"Detection"}";;"No";"Ly-alpha line detection"
"HD 209458 b";"Confirmed";0.69;1.38;"Hot Jupiter";3.52472;0.04747;"HD 209458";47.0;6092.0;1.203;1478.8241952106;7.65;6.5910000;6.3080000;1.15;950.9802;535.1454;;"11/19/24";"JWST-NIRCam";2310.03245;"{"CO2":"Detection","H2O":"Detection","Molecular ratios: C/O, etc...":"Detection","CH4":"Upper limit","HCN":"Upper limit"}";;"No";
"HD 209458 b";"Confirmed";0.69;1.38;"Hot Jupiter";3.52472;0.04747;"HD 209458";47.0;6092.0;1.203;1478.8241952106;7.65;6.5910000;6.3080000;1.15;950.9802;535.1454;;"11/19/24";"G-B: High resolution IR";2408.13536;"{"H2O":"Detection","CH4":"No detection","CO":"No detection","HCN":"No detection","NH3":"No detection"}";;"No";"Four transits with CRIRES+"
"HD 209458 b";"Confirmed";0.69;1.38;"Hot Jupiter";3.52472;0.04747;"HD 209458";47.0;6092.0;1.203;1478.8241952106;7.65;6.5910000;6.3080000;1.15;950.9802;535.1454;;"11/19/24";"HST WFC3";2204.11729;"{"H2O":"Detection","CH4":"Detection","CO":"Detection"}";;"No";
"HD 209458 b";"Confirmed";0.69;1.38;"Hot Jupiter";3.52472;0.04747;"HD 209458";47.0;6092.0;1.203;1478.8241952106;7.65;6.5910000;6.3080000;1.15;950.9802;535.1454;;"11/19/24";"G-B: High resolution IR";"2020AJ....160..228K";"{"FeH":"Upper limit"}";0;"No";
"HD 209458 b";"Confirmed";0.69;1.38;"Hot Jupiter";3.52472;0.04747;"HD 209458";47.0;6092.0;1.203;1478.8241952106;7.65;6.5910000;6.3080000;1.15;950.9802;535.1454;;"11/19/24";"G-B: High resolution visible";2410.15810;"{"Na":"No detection"}";;"No";
"HD 209458 b";"Confirmed";0.69;1.38;"Hot Jupiter";3.52472;0.04747;"HD 209458";47.0;6092.0;1.203;1478.8241952106;7.65;6.5910000;6.3080000;1.15;950.9802;535.1454;;"11/19/24";"G-B: High resolution IR";1908.08754;"{"H2O":"Detection"}";0;"No";"Water vapor detection in the transmission spectra of HD 209458 b with the CARMENES NIR channel"
"HD 209458 b";"Confirmed";0.69;1.38;"Hot Jupiter";3.52472;0.04747;"HD 209458";47.0;6092.0;1.203;1478.8241952106;7.65;6.5910000;6.3080000;1.15;950.9802;535.1454;;"11/19/24";"Spitzer";"2014ApJ...796...48Z";"[]";;"Yes";
"HD 3167 c";"Confirmed";0.0308;0.255;"Warm";29.83832;0.1841;"HD 3167";47.36;5528.0;0.87;531.0;8.94;7.548;7.0660000;1.28;66.1053;2.4213;"EPIC 220383386 c, HIP 2736 c, 2MASS J00345752+0422531 c, BD+03 68 c, EPIC 220383386.02, K2-96 c, SAO 109291 c, TYC 0013-00894-1 c, WISE J003457.60+042251.4 c";"3/9/22";"HST WFC3";"2021AJ....161...19G";"{"H2O":"Detection","CO2":"Detection"}";;"No";
"HD 63433 b";"Confirmed";0.0689;0.1945;"Hot";7.1079477;0.0719;"HD 63433";22.42;5640.0;0.912;870.0;7.0;5.6240000;5.2580000;1.26;46.681;11.5136;"TOI-1726 b";"10/16/23";"G-B: High resolution visible";2404.16732;"{"H":"Upper limit"}";;"No";
"HD 63433 b";"Confirmed";0.0689;0.1945;"Hot";7.1079477;0.0719;"HD 63433";22.42;5640.0;0.912;870.0;7.0;5.6240000;5.2580000;1.26;46.681;11.5136;"TOI-1726 b";"10/16/23";"G-B: High resolution IR";2404.16732;"{"He":"Upper limit"}";;"No";
"HD 63433 b";"Confirmed";0.0689;0.1945;"Hot";7.1079477;0.0719;"HD 63433";22.42;5640.0;0.912;870.0;7.0;5.6240000;5.2580000;1.26;46.681;11.5136;"TOI-1726 b";"10/16/23";"G-B:Low resolution IR";2106.05273;"{"He":"Upper limit"}";0;"No";"Upper limit (0.5%) of He with Keck/NIRSPEC"
"HD 63433 b";"Confirmed";0.0689;0.1945;"Hot";7.1079477;0.0719;"HD 63433";22.42;5640.0;0.912;870.0;7.0;5.6240000;5.2580000;1.26;46.681;11.5136;"TOI-1726 b";"10/16/23";"HST STIS";2106.05273;"{"H":"No detection"}";0;"No";"Non detection of Lyman-a"
"HD 63433 b";"Confirmed";0.0689;0.1945;"Hot";7.1079477;0.0719;"HD 63433";22.42;5640.0;0.912;870.0;7.0;5.6240000;5.2580000;1.26;46.681;11.5136;"TOI-1726 b";"10/16/23";"G-B:Low resolution IR";2405.17294;"{"He":"Upper limit"}";;"No";"New He upper limit with NIRSPEC/Keck of 0.47% / 2.52 mA"
"HD 63433 c";"Confirmed";0.0482;0.2427;"Warm";20.54383;0.1458;"HD 63433";22.42;5640.0;0.912;6.22305801154e+02;7.0;5.6240000;5.2580000;1.26;92.7357;7.4359;"TOI-1726 c";"10/16/23";"G-B: High resolution visible";2404.16732;"{"H":"Upper limit"}";;"No";
"HD 63433 c";"Confirmed";0.0482;0.2427;"Warm";20.54383;0.1458;"HD 63433";22.42;5640.0;0.912;6.22305801154e+02;7.0;5.6240000;5.2580000;1.26;92.7357;7.4359;"TOI-1726 c";"10/16/23";"G-B: High resolution IR";2404.16732;"{"He":"Upper limit"}";;"No";
"HD 63433 c";"Confirmed";0.0482;0.2427;"Warm";20.54383;0.1458;"HD 63433";22.42;5640.0;0.912;6.22305801154e+02;7.0;5.6240000;5.2580000;1.26;92.7357;7.4359;"TOI-1726 c";"10/16/23";"G-B:Low resolution IR";2106.05273;"{"He":"Upper limit"}";0;"No";"Upper limit (0.5%) of He with Keck/NIRSPEC"
"HD 63433 c";"Confirmed";0.0482;0.2427;"Warm";20.54383;0.1458;"HD 63433";22.42;5640.0;0.912;6.22305801154e+02;7.0;5.6240000;5.2580000;1.26;92.7357;7.4359;"TOI-1726 c";"10/16/23";"HST STIS";2106.05273;"{"H":"Detection","He":"Upper limit"}";0;"No";"Also upper limits on planet b"
"HD 73583 b";"Confirmed";0.0321;0.2489;"Warm";6.398042;0.0604;"HD 73583";31.6;4511.0;0.71;721.0;9.67;7.6490000;6.9480000;1.28;114.7885;11.7301;"TOI-560 b";"7/29/22";"G-B: High resolution visible";2404.16732;"{"H":"Upper limit"}";;"No";
"HD 73583 b";"Confirmed";0.0321;0.2489;"Warm";6.398042;0.0604;"HD 73583";31.6;4511.0;0.71;721.0;9.67;7.6490000;6.9480000;1.28;114.7885;11.7301;"TOI-560 b";"7/29/22";"G-B: High resolution IR";2110.13150;"{"He":"Detection"}";;"No";"0.68 ± 0.08% absorption in a young planet."
"HD 73583 c";"Confirmed";0.0302;0.2436;"Warm";18.8805;0.1233;"HD 73583";31.6;4511.0;0.71;503.0;9.67;7.6490000;6.9480000;1.26;78.5501;3.7034;"TOI-560 c";"12/29/21";"G-B: High resolution visible";2404.16732;"{"H":"Upper limit"}";;"No";
"HD 73583 c";"Confirmed";0.0302;0.2436;"Warm";18.8805;0.1233;"HD 73583";31.6;4511.0;0.71;503.0;9.67;7.6490000;6.9480000;1.26;78.5501;3.7034;"TOI-560 c";"12/29/21";"G-B: High resolution IR";2404.16732;"{"He":"Upper limit"}";;"No";
"HD 80606 b";"Confirmed";4.1641;1.032;"Temperate Jupiter";111.436765;0.4603;"HD 80606";58.4;5645.0;0.98;397.18235971598;8.93;7.7020000;7.3160000;1.15;15.9902;8.7586;;"10/11/24";"G-B: Low resolution visible";1008.4800;"{"K":"Upper limit"}";;"No";"Tentative excess absorption in the wings of K, but no detection in the line core."
"HD 80606 b";"Confirmed";4.1641;1.032;"Temperate Jupiter";111.436765;0.4603;"HD 80606";58.4;5645.0;0.98;397.18235971598;8.93;7.7020000;7.3160000;1.15;15.9902;8.7586;;"10/11/24";"JWST-NIRSpec";2407.12456;"{"CO":"Detection","CH4":"Detection"}";;"No";"Seasonal change in composition detected"
"HD 85628 A b";"Confirmed";3.1;1.53;"UltraHot Jupiter";2.82406;0.047;"HD 85628 A";171.54;7800.0;1.92;2403.9738717093;8.19;;;1.15;;;"MASCARA-4 b/bRing-1 b";"11/13/19";"G-B: High resolution visible";2304.04948;"{"Rb":"Detection","Sm":"Detection","Ti+":"Detection","Ba+":"Detection","Mg":"Detection","Ca":"Detection","Cr":"Detection","Fe":"Detection"}";;"No";
"HD 85628 A b";"Confirmed";3.1;1.53;"UltraHot Jupiter";2.82406;0.047;"HD 85628 A";171.54;7800.0;1.92;2403.9738717093;8.19;;;1.15;;;"MASCARA-4 b/bRing-1 b";"11/13/19";"G-B: High resolution visible";2208.11427;"{"H":"Detection","Na":"Detection","Ca+":"Detection","Mg":"Detection","Fe":"Detection","Fe+":"Detection","Ca":"Detection","Cr":"Detection"}";;"No";
"HD 89345 b";"Confirmed";0.1123;0.612;"Hot";11.81399;0.105;"HD 89345";126.6;5609.0;1.657;1053.0;9.4;8.0910000;7.7210000;1.15;95.8641;16.9385;"K2-234 b, EPIC 248777106 b";"8/17/18";"G-B: High resolution IR";2307.00967;"{"He":"Upper limit"}";;"No";"Upper-limit with GIANO-B of 0.7%"
"HD 97658 b";"Confirmed";0.02457;0.20047;"Hot";9.489295;0.08;"HD 97658";21.1;5170.0;0.73;809.0;6.27;6.2030000;5.7340000;1.26;159.337;14.305;;"4/9/20";"G-B:Low resolution IR";"2020AJ....160..258K";"{"He":"No detection"}";0;"No";"Non-detection above the noise level using Keck/NIRSPEC with a resolving power of R = 25000"
"HIP 41378 f";"Confirmed";0.038;0.3604;"Temperate";542.07975;1.37;"HIP 41378";116.0;6199.0;1.4;335.0;8.9;7.9820000;7.7220000;1.15;27.1117;0.171;;"10/3/24";"HST WFC3";2201.02686;"{"Featureless spectra":"Detection"}";0;"No";
"HIP 65426 b";"Confirmed";7.1;1.5;"Hot Jupiter";;87.0;"HIP 65426";109.2;8840.0;1.77;1560.0;7.01;6.8260000;6.7710000;1.15;51.9029;169.0523;;"3/24/24";"G-B:Low resolution IR";2310.00148;"{"Molecular ratios: C/O, etc...":"Detection"}";;"No";
"HIP 65A b";"Confirmed";3.213;2.03;"Hot Jupiter";0.9809734;0.01782;"HIP 65A";61.89;4590.0;0.7242;1411.0;11.1;;;1.15;;;"TOI-129 b";"3/13/20";"G-B: High resolution IR";2403.07983;"{"H2O":"Detection","CO":"Detection","Molecular ratios: C\/O, etc...":"Detection"}";;"No";
"HIP 65A b";"Confirmed";3.213;2.03;"Hot Jupiter";0.9809734;0.01782;"HIP 65A";61.89;4590.0;0.7242;1411.0;11.1;;;1.15;;;"TOI-129 b";"3/13/20";"TESS";"2020AJ....160..155W";"[]";0;"Yes";"Atmospheric brightness modulation detected. Stellar ellipsoidal distortion and Doppler boosting signals detected."
"HIP 67522 b";"Confirmed";0.0434;0.897;"Hot Jupiter";6.9594738;0.0753;"HIP 67522";127.27;5675.0;1.38;1174.0;9.9;8.5870000;8.1640000;1.15;999.0691;52.346;"TOI-6551 b, HD 120411 b";"9/26/24";"JWST-NIRSpec";2409.16355;"{"CO2":"Detection","H2O":"Detection","CO":"Detection","H2S":"Detection","Molecular ratios: C\/O, etc...":"Detection"}";;"No";
"HIP 94235 b";"Confirmed";1.192;0.2862;"Hot";7.712121;0.0787;"HIP 94235";58.61;5991.0;1.08;1060.0;8.3;7.2010000;6.8810000;1.28;3.6703;12.0442;"TOI-4399 b";"9/28/22";"HST STIS";2408.02170;"{"H":"Upper limit"}";;"No";
"HR 8799 b";"Confirmed";7.0;1.2;"Jupiter";164250.0;68.0;"HR 8799";39.4;;1.5;;5.96;5.3830000;5.2400000;1.15;;;;"11/30/24";"G-B:Low resolution IR";2404.03776;"{"Cloudy":"Detection","Molecular ratios: C\/O, etc...":"Detection"}";;"No";
"HR 8799 b";"Confirmed";7.0;1.2;"Jupiter";164250.0;68.0;"HR 8799";39.4;;1.5;;5.96;5.3830000;5.2400000;1.15;;;;"11/30/24";"Direct Detection";2107.06949;"{"H2O":"Detection","CO":"Detection"}";0;"No";"KPIC instrument, high-resolution spectroscopy"
"HR 8799 b";"Confirmed";7.0;1.2;"Jupiter";164250.0;68.0;"HR 8799";39.4;;1.5;;5.96;5.3830000;5.2400000;1.15;;;;"11/30/24";"G-B:Low resolution IR";2109.07614;"{"H2O":"Detection","CO":"Detection","CH4":"Upper limit"}";0;"No";
"HR 8799 b";"Confirmed";7.0;1.2;"Jupiter";164250.0;68.0;"HR 8799";39.4;;1.5;;5.96;5.3830000;5.2400000;1.15;;;;"11/30/24";"G-B: High resolution IR";1303.2627;"{"NH3":"Detection","H2C2":"Detection","CO2":"Detection"}";0;"No";
"HR 8799 c";"Confirmed";8.3;1.3;"Jupiter";82145.0;42.9;"HR 8799";39.4;;1.5;;5.96;5.3830000;5.2400000;1.15;;;;"11/30/24";"G-B:Low resolution IR";2209.15484;"{"C":"Upper limit"}";;"No";"Retrieval of [C/H], [O/H], and C/O ratios"
"HR 8799 c";"Confirmed";8.3;1.3;"Jupiter";82145.0;42.9;"HR 8799";39.4;;1.5;;5.96;5.3830000;5.2400000;1.15;;;;"11/30/24";"G-B:Low resolution IR";2404.03776;"{"Molecular ratios: C\/O, etc...":"Detection","Cloudy":"Detection","HCN":"Detection","CH4":"Detection"}";;"No";
"HR 8799 c";"Confirmed";8.3;1.3;"Jupiter";82145.0;42.9;"HR 8799";39.4;;1.5;;5.96;5.3830000;5.2400000;1.15;;;;"11/30/24";"G-B:Low resolution IR";2109.07614;"{"CH4":"Detection","H2O":"Detection"}";0;"No";
"HR 8799 c";"Confirmed";8.3;1.3;"Jupiter";82145.0;42.9;"HR 8799";39.4;;1.5;;5.96;5.3830000;5.2400000;1.15;;;;"11/30/24";"G-B: High resolution IR";1303.2627;"{"CH4":"No detection","CO2":"No detection","H2C2":"Upper limit","NH3":"Detection"}";0;"No";
"HR 8799 c";"Confirmed";8.3;1.3;"Jupiter";82145.0;42.9;"HR 8799";39.4;;1.5;;5.96;5.3830000;5.2400000;1.15;;;;"11/30/24";"G-B:Low resolution IR";2109.07614;"{"CO":"Detection"}";0;"No";
"HR 8799 d";"Confirmed";8.3;1.2;"Jupiter";41054.0;27.0;"HR 8799";39.4;;1.5;;5.96;5.3830000;5.2400000;1.15;;;;"11/30/24";"G-B:Low resolution IR";2404.03776;"{"Cloudy":"Detection","Molecular ratios: C\/O, etc...":"Detection"}";;"No";
"HR 8799 d";"Confirmed";8.3;1.2;"Jupiter";41054.0;27.0;"HR 8799";39.4;;1.5;;5.96;5.3830000;5.2400000;1.15;;;;"11/30/24";"G-B:Low resolution IR";2109.07614;"{"CH4":"Detection","H2O":"Detection"}";0;"No";
