,P_NAME,P_RADIUS,P_TEMP_EQUIL,P_ESCAPE,P_ECCENTRICITY,S_DISTANCE,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,P_ESI,S_TEMPERATURE,S_AGE,P_GRAVITY,P_DENSITY
3081,Kepler-136 c,1.99,913.95306,1.5236824,0,420.818,2.9308932,1.2548964,2.9299737,0.26319034,6165,2.75,1.1666372,0.58624985
3082,Kepler-1344 b,1.84,1162.5872,1.4817733,0,853.959,1.3995873,0.87696639,2.0557173,0.26573015,5981,3.63,1.1932892,0.64852675
3083,Kepler-1349 b,0.7,1680.6316,0.62220805,0,276.323,2.2029265,1.0931987,2.5566174,0.28270206,6086,2.88,0.55306122,0.79008746
3084,Kepler-1114 b,1.35,648.27446,1.3305527,0,418.417,0.50933087,0.54828939,1.3075487,0.3176512,5374,4.27,1.3113855,0.97139664
3085,Kepler-112 b,2.36,879.41306,1.6169127,0,513.206,0.82035154,0.68918033,1.6345921,0.246322,5544,9.4,1.1077995,0.46940656
3086,Kepler-1121 b,1.91,971.90619,1.5021799,0,482.047,2.9853826,1.2614437,2.9414631,0.265463,6231,3.02,1.1814369,0.61855336
3087,Kepler-1156 b,1.32,776.97406,1.3200092,0,691.331,0.85506671,0.6939541,1.6349343,0.30219825,5778,4.47,1.3200184,1.0000139
3088,Kepler-1286 b,2.15,871.08971,1.565619,0,1354.46,1.342765,0.87092851,2.0532551,0.25688133,5753,4.17,1.1400757,0.53026778
3089,Kepler-1288 b,1.12,1453.2994,1.1417405,0,814.078,2.004472,1.0398737,2.4295621,0.293093,6132,2.88,1.1639031,1.0391992
3090,Kepler-1127 b,1.96,930.70557,1.5152288,0,842.459,0.5508077,0.56076975,1.3253135,0.26413776,5664,4.37,1.1713869,0.59764639
3091,Kepler-1128 b,3.65,414.09143,1.8799592,0,1083.41,0.63679552,0.60723663,1.4402829,0.3342535,5543,4.57,0.96828673,0.26528404
3092,Kepler-1129 c,2.73,422.26533,1.7011093,0,1183.88,0.93972331,0.72517506,1.706127,0.36675624,5831,4.07,1.0599901,0.38827475
3093,Kepler-1789 b,2.831,374.68312,1.7225416,0,611.461,0.58748935,0.58682446,1.396581,0.43070315,5436,4.5,1.0480923,0.37021983
3094,Kepler-1993 b,4.15,904.40574,1.9696492,0,1031.91,5.9979108,1.9032211,4.5734531,0.17864345,5159,,0.93482363,0.22525871
3095,Kepler-1997 b,2.28,645.15103,1.5976957,0,1502.34,1.3551894,0.85072438,1.9843463,0.27212036,6215,,1.1195753,0.49104178
3096,Kepler-2000 b,2.73,586.11327,1.7011093,0,320.588,0.088511561,0.24243397,0.62111784,0.26445684,3757,13.9,1.0599901,0.38827475
3097,Kepler-1818 b,1.714,1262.3168,1.4452271,0,1034.59,1.8238957,0.99708717,2.3338184,0.27109705,6047,5.4,1.2186006,0.71096885
3098,Kepler-1821 b,2.592,672.49571,1.6712899,0,799.699,0.75162289,0.66229337,1.574212,0.25254937,5475,0.4,1.0776273,0.41575126
3099,Kepler-1132 b,2.35,381.7931,1.6137705,0,867.931,0.41879357,0.49924363,1.1936879,0.44764116,5298,4.57,1.1081938,0.47157181
3100,Kepler-1272 b,2.37,606.06063,1.6187196,0,1206.37,2.3442288,1.1387776,2.6728978,0.27617091,5926,3.89,1.1055921,0.46649454
3101,Kepler-1346 b,1.58,1208.8527,1.4052343,0,843.701,0.98174794,0.72770295,1.700171,0.27796093,6133,3.09,1.2497997,0.79101248
3102,Kepler-1347 b,1.03,631.80497,1.0239842,0,321,0.40926066,0.49628078,1.1910694,0.32922455,5193,5.62,1.0180036,0.98835299
3103,Kepler-1350 b,2.52,598.92809,1.6547191,0,340.691,0.052119471,0.18580875,0.47437827,0.27071063,3827,4.57,1.0865457,0.43116894
3104,Kepler-1454 b,1.88,444.66477,1.492891,0,780.566,0.55590426,0.57044601,1.357074,0.39080803,5448,4.57,1.1854912,0.63058041
3105,Kepler-1458 b,2.76,444.18556,1.7078251,0,544.45,0.57543994,0.57354418,1.3559316,0.34168865,5653,4.17,1.0567633,0.38288525
3106,Kepler-146 b,3.71,620.27562,1.8933847,0,716.797,1.4060475,0.88075863,2.0662006,0.21786619,5948,2.7,0.96628185,0.26045333
3107,Kepler-1134 b,2.64,575.16031,1.680999,0,944.445,0.40086672,0.48888833,1.1696248,0.27189708,5281,4.9,1.0703627,0.40544042
3108,Kepler-1138 b,1.7,1032.3469,1.4409964,0,872.328,0.46451528,0.51745839,1.2258905,0.2745711,5582,4.37,1.2214533,0.71850193
3109,Kepler-1144 b,1.99,732.21157,1.5236824,0,1140.57,1.1376273,0.80164578,1.8899178,0.27449752,5753,3.98,1.1666372,0.58624985
3110,Kepler-1180 b,1.99,917.4675,1.5236824,0,1596.8,2.6121614,1.191071,2.7860449,0.26306851,6077,3.09,1.1666372,0.58624985
3111,Kepler-1351 b,0.65,1158.2103,0.56568542,0,202.782,0.10399202,0.25841943,0.64027455,0.28038958,4439,4.17,0.49230769,0.75739645
3112,Kepler-1352 b,0.89,1711.1539,0.8479983,0,670.829,1.8323144,0.99506453,2.3255446,0.29238975,6118,3.16,0.80797879,0.90784134
3113,Kepler-1353 b,1.8,457.09239,1.4700718,0,593.384,0.24266101,0.38975481,0.95111609,0.3832859,4776,4.68,1.2006173,0.6670096
3114,Kepler-1354 b,2.97,510.81859,1.7513823,0,1119.45,2.004472,1.0375968,2.4224696,0.28347339,6168,2.95,1.0327744,0.3477355
3115,Kepler-135 b,1.81,1273.6858,1.4735232,0,621.855,2.8054336,1.2333691,2.8841821,0.26627266,6090,2.62,1.1995971,0.66276082
3116,Kepler-1350 c,1.73,816.90814,1.4505331,0,340.691,0.052119471,0.18580875,0.47437827,0.28083946,3827,4.57,1.2162117,0.70301254
3117,Kepler-1361 b,0.86,954.13774,0.811258,0,389.143,0.36559479,0.47055327,1.1319287,0.29802205,5131,4.9,0.76527853,0.88985875
3118,Kepler-1363 b,1.25,932.49475,1.2961481,0,541.714,0.23659197,0.38380747,0.93409394,0.29632611,4839,4.17,1.344,1.0752
3119,Kepler-1370 c,1.27,1197.2974,1.3011201,0,1004.1,2.8707806,1.2391713,2.8911417,0.29078074,6202,2.88,1.3330027,1.0496084
3120,Kepler-1374 b,2.29,680.26538,1.5996725,0,1078.46,0.42854852,0.50434112,1.2048309,0.26580437,5323,4.47,1.1174463,0.4879678
3121,Kepler-1441 b,1.31,634.14081,1.3163679,0,1110.48,2.113489,1.0894398,2.5650628,0.32211136,5802,3.89,1.3227667,1.0097456
3122,Kepler-119 b,3.6,1332.9556,1.8708287,0,701.996,0.9183326,0.72701963,1.7216853,0.18939865,5595,3.63,0.97222222,0.27006173
3123,Kepler-1190 b,1.33,576.66203,1.3235859,0,342.509,0.18749945,0.34326045,0.83932699,0.33716349,4730,3.98,1.3172028,0.99037803
3124,Kepler-1192 b,2.36,575.1369,1.6169127,0,1304.19,0.74473197,0.66063158,1.572132,0.28547793,5438,4.47,1.1077995,0.46940656
3125,Kepler-1197 b,1.25,1032.0637,1.2961481,0,486.94,0.21577444,0.36856439,0.90206733,0.29373927,4708,2.69,1.344,1.0752
3126,Kepler-1199 b,1.15,835.84061,1.1795356,0,563.493,1.5381546,0.92451966,2.1719552,0.30324187,5889,7.76,1.2098299,1.052026
3127,Kepler-1364 b,2.15,1121.5463,1.565619,0,1056.9,6.1944108,1.7582229,4.0653067,0.25076931,6805,1.58,1.1400757,0.53026778
3128,Kepler-1366 b,1.43,868.99722,1.3561566,0,465.826,0.10092529,0.25726132,0.64888984,0.29211366,4070,3.98,1.2861265,0.89938913
3129,Kepler-141 b,0.69,997.85493,0.6102981,0,301.183,0.35809644,0.47068895,1.1421616,0.28697797,4910,12.39,0.53980256,0.78232255
3130,Kepler-141 c,1.41,761.31136,1.3500722,0,301.183,0.35809644,0.47068895,1.1421616,0.29998811,4910,12.39,1.2926915,0.91680249
3131,Kepler-1412 b,0.83,1479.1058,0.77459667,0,755.678,2.4154608,1.159187,2.7238609,0.29108657,5880,6.31,0.72289157,0.87095369
3132,Kepler-1414 b,1.23,944.91971,1.2878418,0,570.835,0.34355795,0.46016446,1.1147567,0.29653356,4951,4.68,1.3484037,1.0962632
3133,Kepler-142 c,2.86,1134.7816,1.7290201,0,548.686,1.2793813,0.84823698,1.9977854,0.21830713,5790,8.2,1.0452834,0.3654837
3134,Kepler-1773 b,3.505,644.6697,1.8580127,0,681.255,2.5409727,1.1671657,2.7241596,0.22017513,6183,2.91,0.98493898,0.28100969
3135,Kepler-1774 b,3.182,510.73925,1.7903997,0,816.592,1.5488166,0.90952619,2.1215447,0.27450094,6214,2.5,1.0073951,0.31659179
3136,HD 152843 c,5.83,794.37177,2.1718612,0.115,107.898,2.8183829,1.2198292,2.8402934,0.14586991,6310,3.97,0.80908767,0.13878005
3137,Kepler-120 b,2.15,735.64513,1.9883381,0,388.63,0.21037784,0.37119665,0.93506566,0.26604279,4096,3.63,1.8388318,0.85527061
3138,Kepler-1203 b,1.06,1459.3091,1.0639904,0,317.022,0.13995873,0.30269742,0.76217342,0.29390477,4105,3.47,1.0679957,1.0075431
3139,Kepler-1220 b,1.52,953.89743,1.3860204,0,961.907,1.0592537,0.76940301,1.8096736,0.28500328,5842,3.63,1.2638504,0.83148054
3140,HD 152843 b,3.41,1015.8994,1.8412032,0.14,107.898,2.8183829,1.2198292,2.8402934,0.19900532,6310,3.97,0.9941435,0.29153768
3141,TOI-262 b,2.07,533.95654,1.5448215,,43.932,0.51286138,0.55211662,1.3195558,0.31656581,5310,0.8,1.1528857,0.55694962
3142,TOI-2459 b,2.953,435.88713,1.7486873,,36.6113,0.12705741,0.28774413,0.721326,0.34050308,4195,,1.0355256,0.35066903
3143,TOI-1937 A b,13.978,1919.0936,6.7603918,0,415.135,1.2022644,0.82108642,1.9326262,0.064711132,5814,3.6,3.2696307,0.23391262
3144,Kepler-46 b,9.057,495.83188,14.510526,0.01,777.06,0.55590426,0.57953301,1.3928292,0.16385909,5155,9.7,23.247805,2.5668329
3145,HD 216437 b,13,193.17684,10.133263,0.31,26.6902,2.2387211,1.1140077,2.6158337,0.30728042,5909,4.9,7.8986941,0.60759186
3146,TOI-1696 b,3.09,488.85715,3.9740257,0,64.9172,0.0071121351,0.06921409,0.1823749,0.29102118,3185,7.1,5.1109645,1.6540338
3147,Kepler-1387 b,0.93,1048.139,0.89742763,0,455.358,0.27542287,0.41015196,0.98985356,0.29734233,5046,4.37,0.86599607,0.93117857
3148,Kepler-1226 b,1.45,849.02533,1.3645765,0,1125.72,2.2855988,1.1246521,2.6399336,0.29224377,5923,3.72,1.2841855,0.88564517
3149,Kepler-1233 b,2.6,564.12044,1.6721704,0,1178.7,1.6634127,0.94348892,2.2014495,0.27742958,6198,2.88,1.0754438,0.41363223
3150,Kepler-1239 b,2.9,1317.9827,1.7370208,0,2140.6,2.7989813,1.1976284,2.7773789,0.21521437,6564,1.62,1.0404281,0.3587683
3151,Kepler-124 b,0.73,985.8649,0.65689181,0,420.046,0.34119291,0.45786736,1.1077197,0.29053401,4984,1.82,0.59110527,0.80973325
3152,Kepler-124 d,1.11,472.1992,1.1270627,0,420.046,0.34119291,0.45786736,1.1077197,0.40218939,4984,1.82,1.1443876,1.0309798
3153,Kepler-1365 c,0.8,1393.6427,0.73908727,0,840.128,2.6607251,1.2247277,2.8860354,0.29010907,5770,6.03,0.6828125,0.85351562
3154,Kepler-1375 b,1.74,1884.0363,1.4542842,0,1430.84,6.6374307,1.8298829,4.2358775,0.26801524,6704,1.66,1.2154842,0.69855414
3155,Kepler-1427 b,1.1,1831.7517,1.1159993,0,1220,1.0375284,0.76372806,1.7986061,0.29262017,5793,4.07,1.1322314,1.0293013
3156,Kepler-1268 b,2.03,636.48429,1.5344966,0,1840.77,2.2130947,1.1079502,2.601927,0.28656171,5904,4.27,1.1599408,0.5713994
3157,Kepler-1434 b,1.11,1399.3648,1.1270627,0,775.529,7.277798,1.9624333,4.5709563,0.29348224,6291,2.57,1.1443876,1.0309798
3158,Kepler-1435 b,0.86,1427.261,0.811258,0,704.211,2.9376497,1.2419488,2.8894794,0.29232269,6356,2.63,0.76527853,0.88985875
3159,Kepler-1437 b,1.37,990.85351,1.3372813,0,2101.69,2.0701413,1.093972,2.5936439,0.29040526,5557,4.57,1.3053439,0.95280578
3160,Kepler-1445 b,0.96,1006.226,0.93541435,0,506.357,2.1877616,1.0851865,2.5344972,0.29853042,6150,3.8,0.91145833,0.94943576
3161,Kepler-1446 b,0.82,1474.8239,0.7626974,0,152.075,0.22335722,0.37248996,0.90556161,0.29069494,4865,2.63,0.70939917,0.86512094
3162,Kepler-1388 d,2.86,379.45863,1.7290201,0,453.795,0.07816278,0.22624706,0.56987303,0.42081765,4098,4.47,1.0452834,0.3654837
3163,Kepler-1425 b,0.94,994.26244,0.91034247,0,863.873,2.5003454,1.1909442,2.810392,0.29862016,5718,4.07,0.88162064,0.9378943
3164,Kepler-1300 b,1.37,903.02695,1.3372813,0,777.025,4.3251383,1.527684,3.5694299,0.29311973,6130,3.55,1.3053439,0.95280578
3165,Kepler-1066 b,2.36,1320.5782,1.6169127,0,344.251,0.64565423,0.60359844,1.422667,0.23897804,5762,3.8,1.1077995,0.46940656
3166,Kepler-1149 b,1.44,1288.0097,1.3616779,0,1217.73,1.4621772,0.90446204,2.1278282,0.2836145,5833,3.98,1.2876157,0.8941776
3167,Kepler-1083 b,3.36,445.23288,1.8257419,0,902.633,0.33651157,0.45329525,1.0938468,0.31323342,5049,4.68,0.99206349,0.29525699
3168,Kepler-1088 b,1.42,670.29882,1.3531393,0,280.629,1.2302688,0.82251139,1.928336,0.31077793,5975,3.02,1.2894267,0.90804697
3169,Kepler-26 e,2.41,295.04507,1.6283281,0,335.307,0.087096359,0.23611996,0.58374107,0.64465847,4486,2.95,1.1001877,0.45650941
3170,HD 20329 b,1.72,1953.0504,2.0770059,0,63.6796,1.1194379,0.80263994,1.9007084,0.26893498,5596,11,2.5081125,1.4582049
3171,GJ 328 c,4.91,168.77846,2.0876906,,20.5266,0.083176377,0.2344199,0.59639224,0.33072342,3897,,0.88766846,0.18078787
3172,HD 110067 b,2.2,734.45149,1.6082175,,32.1585,0.43451022,0.50939908,1.2193407,0.26366633,5266,8.1,1.1756198,0.53437265
3173,TOI-1408 b,16.813,1465.9925,5.6521946,0.259,139.484,3.758374,1.4089751,3.2809412,0.055385211,6306,,1.9001548,0.113017
3174,TOI-2184 b,11.4,1567.218,4.2569701,0.08,788.317,9.5940063,2.2981603,5.3890488,0.077866885,5966,2.3,1.5896311,0.13944133
3175,HIP 113103 c,2.4,563.83138,1.6266018,0.17,46.2122,0.26546056,0.40488878,0.98168811,0.2862008,4930,0.47,1.1024306,0.45934606
3176,TOI-1634 b,1.773,826.29565,2.0663009,0,35.2736,0.026424088,0.13299962,0.34561183,0.27812161,3472,,2.4081216,1.3582186
3177,VHS J125601.92-125723.9 b,13.675,2.1604118,19.283803,0.68,12.7,0.00072443596,0.022233792,0.060083293,0.065654926,2620,0.14,27.193056,1.9885233
3178,Kepler-32 e,1.5,666.56536,1.380821,0,323.847,0.0510505,0.1836407,0.46713382,0.30782957,3900,2.69,1.2711111,0.84740741
3179,Kepler-19 c,3.68,544.09534,1.8867386,0.21,218.562,0.65614527,0.61635777,1.4618721,0.23900404,5544,1.9,0.96733223,0.26286202
3180,HD 120084 b,12.7,332.41981,12.655651,0.483,103.044,54.701596,5.8256305,14.154451,0.27865314,4879,1.02,12.611456,0.99302806
3181,HD 14067 b,12.2,324.80221,19.964671,0.65,142.024,79.067863,7.0237229,17.111396,0.26772605,4815,0.69,32.671154,2.6779635
3182,NGTS-12 b,11.747,1124.739,2.3722782,0,446.442,2.1777098,1.1133078,2.6292354,0.077951308,5690,9.4,0.47907586,0.040782826
3183,K2-3 d,1.458,279.31529,1.2283796,0.091,44.0727,0.058748935,0.19721117,0.5030609,0.81426382,3844,6.9,1.034922,0.70982307
3184,Kepler-158 b,2.12,494.52496,1.5570897,0,315.177,0.17498467,0.33301722,0.81814978,0.33552653,4623,13.9,1.1436454,0.53945539
3185,Kepler-236 b,1.57,492.48503,1.4029087,0,288.763,0.059020108,0.19799028,0.50743048,0.36761275,3750,3.16,1.2536006,0.79847169
3186,Kepler-61 b,2.15,290.98123,1.565619,0.25,335.079,0.10690549,0.26509619,0.6704122,0.6737067,4017,1,1.1400757,0.53026778
3187,Kepler-1861 b,2.207,616.98054,1.5786294,0,829.985,1.9952623,1.0551446,2.4809339,0.28171098,5855,2.8,1.1291666,0.51162963
3188,Kepler-1395 b,0.8,1344.2692,0.73908727,0,492.894,1.8923436,1.010001,2.3594764,0.29035201,6138,2.88,0.6828125,0.85351562
3189,Kepler-1398 b,0.9,1539.7729,0.86023253,0,852.204,2.0511622,1.0522996,2.4588989,0.29297174,6126,3.09,0.82222222,0.91358025
3190,Kepler-140 b,1.61,1387.5334,1.4142136,0,583.859,1.7823788,0.98386988,2.3013788,0.2754004,6077,0.88,1.242236,0.77157517
3191,Kepler-1301 b,1.4,731.17428,1.3469542,0,854.28,0.4508167,0.52100288,1.2506317,0.30338622,5188,4.9,1.2959184,0.92565598
3192,Kepler-1460 b,1.96,390.07484,1.5152288,0,553.218,0.14321879,0.3034375,0.75241512,0.45947466,4422,3.98,1.1713869,0.59764639
3193,Kepler-1463 b,1.86,652.59389,1.4883057,0,1687.47,1.2359474,0.83926436,1.9826574,0.29228729,5679,4.79,1.1908891,0.64026297
3194,Kepler-1320 b,1.7,1311.4626,1.4409964,0,647.424,0.18663797,0.34121631,0.83121043,0.2714613,4817,3.16,1.2214533,0.71850193
3195,Kepler-1895 b,2.119,899.83349,1.5574571,0,984.187,0.58884366,0.59883151,1.4435285,0.25725199,5076,1.2,1.1447251,0.54021949
3196,Kepler-1896 b,3.099,559.91912,1.7782886,0,1732.91,1.4927944,0.89793588,2.0983726,0.25681911,6122,,1.0204293,0.32927696
3197,Kepler-1897 b,2.814,517.60083,1.7194899,0,983.174,0.40738028,0.49585598,1.1912796,0.28697126,5165,4.2,1.0506913,0.37338
3198,Kepler-1923 b,1.96,553.64612,1.5152288,0,990.838,1.8071741,1.0025987,2.3558508,0.31408517,5881,,1.1713869,0.59764639
3199,TOI-251 b,2.74,1015.327,10.77016,0,99.523,0.83176377,0.6804329,1.5990819,0.22516987,5875,0.18,42.334434,15.450524
3200,Kepler-1985 b,2.27,1128.8725,1.5943181,0,,0.699842,0.6428443,1.5332474,0.24484453,5370,,1.1197578,0.49328538
3201,Kepler-1986 b,1.89,556.17558,1.4960265,0,912.085,0.38815037,0.47392252,1.1238734,0.31687209,5549,,1.1841774,0.62654888
3202,TOI-411 b,1.362,1199.3705,3.1727085,0.126,62.7792,1.61808,0.93218516,2.1763223,0.28744213,6169,2.5,7.3906603,5.4263291
3203,Kepler-1042 b,2.19,655.90178,1.5746276,0,659,0.25118864,0.39588347,0.96446274,0.27468943,4815,4.79,1.1321699,0.51697255
3204,Kepler-1054 b,2.63,1355.6664,1.6785382,0,1090.51,2.3388372,1.1180131,2.6081097,0.22648257,6209,2.82,1.0712892,0.40733428
3205,K2-61 b,2.48,1275.577,1.6448845,,405.732,0.96605088,0.71489566,1.6650954,0.23366883,6293,,1.090986,0.43991369
3206,K2-63 c,3.9,664.68948,1.9281983,,517.534,1.65577,0.91065552,2.1063744,0.20388997,6771,,0.95332018,0.24444107
3207,K2-65 b,1.58,662.33962,1.4052343,,72.2,0.46989411,0.53122024,1.2739938,0.30475894,5213,,1.2497997,0.79101248
3208,Kepler-1098 b,1.3,1473.697,1.3126602,0,1049.19,1.4354894,0.89828179,2.1154291,0.28815442,5794,3.98,1.3254438,1.0195721
3209,Kepler-1117 b,1.11,958.30419,1.1270627,0,568.487,0.59703529,0.58561775,1.3861278,0.29894983,5612,4.27,1.1443876,1.0309798
3210,Kepler-1055 b,1.23,1285.8364,1.2878418,0,389.397,0.71121351,0.63498263,1.4982265,0.2913059,5723,3.09,1.3484037,1.0962632
3211,K2-312 c,12.8,195.90735,11.590175,0.853,109.86,1.7060824,0.96953993,2.273886,0.39266255,5959,2.67,10.4947,0.81989845
3212,Kepler-1071 b,2.38,857.85157,1.6218052,0,1042.27,0.48640721,0.54041717,1.2959562,0.24631891,5215,4.27,1.1051479,0.46434787
3213,Kepler-1113 b,2.81,542.80163,1.7186438,0,1073.88,1.2022644,0.8152798,1.9133659,0.2757122,5931,3.55,1.0511518,0.37407539
3214,Kepler-1116 b,2.54,484.92185,1.6589058,0,1008.57,0.71285303,0.63881371,1.5107599,0.31948164,5641,4.9,1.0834522,0.42655597
3215,Kepler-1131 b,1.59,1170.0202,1.4075269,0,1030.7,0.93756201,0.72346452,1.7012352,0.27786973,5851,4.17,1.245995,0.78364466
3216,K2-75 c,2.77,823.8224,1.7100257,,561.93,2.2335722,1.106909,2.5938961,0.23041695,5995,,1.0556634,0.38110593
3217,Kepler-603 d,1.32,1236.9798,1.3200092,0,1539.63,2.4660393,1.1763759,2.7693181,0.2887138,5808,4.37,1.3200184,1.0000139
3218,Kepler-1894 b,1.201,1111.3973,1.2478124,0,935.191,0.5370318,0.55015789,1.296362,0.29382719,5772,0.5,1.2964495,1.079475
3219,TOI-1288 b,5.24,1116.8884,2.8311247,0.064,114.865,0.68076936,0.63900059,1.5318111,0.14824615,5225,12.1,1.5296311,0.29191434
3220,TOI-2193 A b,19.84,1614.7158,3.8805157,0,337.064,1.7782794,0.98941918,2.3201289,0.047425414,5966,5.5,0.75899205,0.038255648
3221,TOI-4137 b,13.574,1435.2623,5.8066237,0,334.993,2.7478942,1.2123593,2.8285859,0.067152419,6202,2.1,2.4839309,0.18299182
3222,TOI-4342 c,2.415,466.69968,1.6291852,,61.5204,0.074644876,0.22205493,0.5648213,0.33963825,3901,,1.099066,0.45509978
3223,TOI-4342 b,2.266,581.07033,1.5943413,,61.5204,0.074644876,0.22205493,0.5648213,0.28836774,3901,,1.121767,0.49504282
3224,HD 109833 b,2.888,892.90491,1.7346477,0.18,79.5561,1.1803206,0.81026512,1.903916,0.22209237,5881,0.027,1.0418985,0.36076817
3225,K2-8 b,3.58,633.30487,1.8685877,,403.513,0.27989813,0.41688647,1.0132827,0.21965139,4870,,0.97531288,0.27243377
3226,Kepler-46 d,1.64,791.70303,1.4249519,0,777.06,0.41879357,0.49894692,1.1925219,0.28697878,5309,4.5,1.2381023,0.75494044
3227,WASP-171 b,10.985,1670.646,5.6003098,0,757.84,4.6989411,1.6084472,3.7718008,0.0802346,5965,5.908,2.8551179,0.2599106
3228,PZ Tel b,11.9,48.331004,26.853739,0.52,47.0648,1.0162487,0.78300809,1.8808752,0.076026909,5169,0.2,60.598595,5.0923189
3229,K2-316 c,1.83,368.24615,1.4802894,,112.486,0.014791084,0.099548813,0.25914508,0.51032552,3436,,1.1974081,0.65432137
3230,TOI-2010 b,11.814,365.21851,5.8819097,0.212,109.19,1.3001696,0.84792916,1.9900855,0.25627349,5929,1.9,2.928463,0.24788074
3231,K2-38 c,2.49,839.92258,1.7239163,0.086,192.69,1.0889301,0.78655278,1.8567776,0.24198474,5705,6.1,1.1935291,0.47932897
3232,K2-222 b,2.35,793.37115,1.9240914,0.16,101.321,1.3772095,0.8719984,2.0459408,0.2511495,5942,7.1,1.5753735,0.67037169
3233,Kepler-1834 c,1.22,1492.1211,1.2739509,0,500.395,0.26485001,0.40640072,0.98983314,0.29062414,4821,12.2,1.3302876,1.0903996
3234,Kepler-1991 c,2.57,612.40402,1.6656287,0,855.82,0.77983011,0.67449127,1.6030523,0.26498108,5478,0.4,1.0795016,0.42003953
3235,Kepler-297 d,32.6,333.3104,52.455064,0,692.14,0.80167806,0.67836191,1.6053653,0.24974018,5618,1.9,84.402876,2.5890453
3236,OGLE-2018-BLG-1126L b,4.41,,2.008959,,5700,,,,,,,0.91517372,0.20752239
3237,OGLE-2018-BLG-1367L b,13.8,,4.6775519,,5370,,,,,,,1.5854704,0.11488916
3238,Kepler-1988 b,1.53,1105.3531,1.3909136,0,513.426,3.8194427,1.4441237,3.3812153,0.28143754,6033,,1.2644709,0.82645159
3239,OGLE-2017-BLG-1375L b,12.4,,17.00332,,3930,,,,,,,23.315557,1.8802868
3240,Kepler-210 c,3.62,607.85597,1.880402,0,232.75,0.15885467,0.31805764,0.78366782,0.22363277,4559,1.78,0.97677116,0.26982629
3241,TOI-620 b,3.76,550.83312,1.9018468,0.22,33.0231,0.051522864,0.18511336,0.47542597,0.23368884,3708,7.2,0.96197374,0.25584408
3242,TOI-942 b,3.89,932.23245,14.575025,0.34,152.601,0.43752211,0.51885637,1.256026,0.18479103,4969,0.053,54.609605,14.038459
3243,Kepler-1118 b,2.74,539.72491,1.7033672,0,888.325,0.87096359,0.70415271,1.6630507,0.28018349,5688,4.07,1.058927,0.38646969
3244,Kepler-1303 b,1.42,928.49537,1.3531393,0,897.783,0.99540542,0.74905454,1.7650783,0.29017208,5771,4.47,1.2894267,0.90804697
3245,Kepler-1328 b,0.98,1262.9085,0.96044208,0,813.543,1.6904409,0.97561511,2.2983968,0.2951943,5780,4.57,0.94127447,0.96048415
3246,Kepler-1306 b,1.91,700.48228,1.5021799,0,1107.5,0.86496792,0.70009684,1.6516803,0.28229118,5727,4.57,1.1814369,0.61855336
3247,Kepler-1254 d,1.31,764.30339,1.3163679,0,622.818,0.26791683,0.40571317,0.98150365,0.30363689,4985,5.62,1.3227667,1.0097456
3248,Kepler-172 b,2.35,1250.4597,1.6137705,0,828.592,0.92896639,0.734148,1.7422117,0.23989105,5526,6.46,1.1081938,0.47157181
3249,Kepler-173 c,2.43,977.20088,1.6329932,0,833.165,1.1857687,0.80474341,1.8842789,0.23989783,6031,3.3,1.0973937,0.45160234
3250,Kepler-174 d,2.19,223.00026,1.5746276,0,384.757,0.26915348,0.40862361,0.99278569,0.67845615,4880,4.9,1.1321699,0.51697255
3251,Kepler-178 b,2.9,775.15802,1.7370208,0,716.025,0.61944108,0.59425934,1.4039829,0.22806786,5676,11.3,1.0404281,0.3587683
3252,Kepler-178 c,2.88,599.72967,1.7330529,0,716.025,0.61944108,0.59425934,1.4039829,0.25412875,5676,11.3,1.0428723,0.36210844
3253,TOI-5704 b,3.227,853.52807,1.8038282,,89.637,0.22961486,0.3819517,0.93977034,0.21059159,4590,,1.0083037,0.31245854
3254,Kepler-159 c,3.41,353.48539,1.8364188,0,373.744,0.1761976,0.33414383,0.82084383,0.43899899,4625,2.51,0.98898358,0.29002451
3255,Kepler-1609 b,2.22,492.06581,1.5825626,0,1826.04,3.047895,1.2822733,2.9959048,0.33162465,6132,3.02,1.1281552,0.50817801
3256,Kepler-1622 b,1.47,1001.5128,1.3702376,0,796.477,2.3604782,1.1080148,2.5744774,0.28599578,6436,2.19,1.2772456,0.86887455
3257,Kepler-184 c,1.97,595.99162,2.1135291,0,610.326,0.59566214,0.5788546,1.3634023,0.29941218,5788,1.7,2.2675153,1.151023
3258,Kepler-183 c,2.27,805.71435,3.9657121,0,1050.64,1.0616956,0.7681438,1.8046291,0.25446149,5888,4.27,6.9281376,3.052043
3259,Kepler-191 b,1.34,680.51873,1.3270999,0,594.464,0.38547836,0.47938713,1.1468537,0.31240772,5282,0.9,1.3143239,0.98083873
3260,Kepler-194 b,1.51,1459.7373,1.3834404,0,1097.97,1.1040786,0.77378369,1.8094993,0.27972852,6089,2.5,1.2674883,0.8393962
3261,Kepler-194 d,2.4,497.94728,1.6266018,0,1097.97,1.1040786,0.77378369,1.8094993,0.31824944,6089,2.5,1.1024306,0.45934606
3262,Kepler-218 b,1.48,1193.9078,1.3730022,0,656.38,1.0209395,0.77069351,1.8303066,0.28264207,5502,6.3,1.27374,0.86063511
